ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,skipped
2018-12-08 00:39:36+00:00,212348,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),Dvicio,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),False
2018-12-08 00:42:51+00:00,195519,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-08 00:46:41+00:00,229939,Lo siento,Beret,Lo siento,False
2018-12-08 00:50:58+00:00,193256,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",False
2018-12-08 00:53:39+00:00,160843,Vaina Loca,Ozuna,Aura,False
2018-12-08 00:53:51+00:00,15498,Flames,David Guetta,7,False
2018-12-08 00:53:52+00:00,1031,Don't Stop Me Now - Remastered 2011,Queen,Jazz,False
2018-12-08 00:53:53+00:00,1280,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,Ahora,False
2018-12-08 00:57:20+00:00,207905,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You,False
2018-12-08 00:57:23+00:00,952,IDGAF,Dua Lipa,Dua Lipa,False
2018-12-08 00:57:23+00:00,2342,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-08 00:57:25+00:00,1661,Anduve en la Vagancia,Malvariche,La Fiesta de los Corremayos,False
2018-12-08 00:57:26+00:00,1836,In My Mind,Dynoro,In My Mind,False
2018-12-08 00:58:16+00:00,50225,Sin Pijama,Becky G,Sin Pijama,False
2018-12-08 00:58:18+00:00,2364,Walk On Water,Thirty Seconds To Mars,AMERICA,False
2018-12-08 00:58:19+00:00,710,Genius,Sia,Mountains,False
2018-12-08 00:58:20+00:00,1220,X,Nicky Jam,X,False
2018-12-08 00:58:20+00:00,1220,Natural,Imagine Dragons,Origins,False
2018-12-08 00:58:22+00:00,1987,No Es Justo,J Balvin,Vibras,False
2018-12-08 00:58:23+00:00,913,Believer,Imagine Dragons,Evolve,False
2018-12-08 00:58:23+00:00,913,Thunderclouds,Sia,Mountains,False
2018-12-08 00:58:24+00:00,880,I Like It,Cardi B,Invasion of Privacy,False
2018-12-08 00:59:04+00:00,40494,El Clavo,Prince Royce,El Clavo,False
2018-12-08 01:00:52+00:00,108205,Mujeres,Mozart La Para,Mujeres,False
2018-12-08 01:00:52+00:00,1024,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),False
2018-12-08 01:00:55+00:00,3410,Ya Es Hora,Ana Mena,Index,False
2018-12-08 01:00:56+00:00,0,No Me Acuerdo,Thalia,Valiente,False
2018-12-08 01:01:00+00:00,4105,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-08 01:01:00+00:00,787,No Me Acuerdo,Thalia,Valiente,False
2018-12-08 01:04:40+00:00,217653,No Me Acuerdo,Thalia,Valiente,False
2018-12-08 11:56:47+00:00,4805,Genius,Sia,Mountains,False
2018-12-08 12:00:57+00:00,250840,No Es Justo,J Balvin,Vibras,False
2018-12-08 12:04:35+00:00,217653,No Me Acuerdo,Thalia,Valiente,False
2018-12-08 12:04:40+00:00,4786,IDGAF,Dua Lipa,Dua Lipa,False
2018-12-08 12:04:41+00:00,1620,Lo siento,Beret,Lo siento,False
2018-12-08 12:04:42+00:00,1436,In My Mind,Dynoro,In My Mind,False
2018-12-08 12:04:43+00:00,1280,Sin Pijama,Becky G,Sin Pijama,False
2018-12-08 12:04:44+00:00,1391,Walk On Water,Thirty Seconds To Mars,AMERICA,False
2018-12-08 12:04:45+00:00,957,Usted,Juan Magán,Usted,False
2018-12-08 12:07:50+00:00,185467,Walk On Water,Thirty Seconds To Mars,AMERICA,False
2018-12-08 12:07:59+00:00,8843,Usted,Juan Magán,Usted,False
2018-12-08 12:13:53+00:00,354320,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,False
2018-12-08 12:14:57+00:00,34097,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",False
2018-12-08 12:14:58+00:00,1536,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),Dvicio,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),False
2018-12-08 12:14:59+00:00,1325,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,7,False
2018-12-08 12:15:00+00:00,1391,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),False
2018-12-08 12:15:02+00:00,1431,Don't Stop Me Now - Remastered 2011,Queen,Jazz,False
2018-12-08 12:15:03+00:00,1620,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-08 12:17:47+00:00,164970,Don't Stop Me Now - Remastered 2011,Queen,Jazz,False
2018-12-08 12:17:48+00:00,1446,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-08 12:17:49+00:00,1258,I Like It,Cardi B,Invasion of Privacy,False
2018-12-08 12:17:50+00:00,1436,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Red Pill Blues,False
2018-12-08 12:17:51+00:00,1297,Natural,Imagine Dragons,Origins,False
2018-12-08 12:17:53+00:00,590,Mujeres,Mozart La Para,Mujeres,False
2018-12-08 12:17:54+00:00,1336,Ya Es Hora,Ana Mena,Index,False
2018-12-08 12:18:34+00:00,40605,Mujeres,Mozart La Para,Mujeres,False
2018-12-08 12:18:35+00:00,1475,Ya Es Hora,Ana Mena,Index,False
2018-12-08 12:18:36+00:00,1279,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-08 12:18:37+00:00,1286,X,Nicky Jam,X,False
2018-12-08 12:18:38+00:00,1224,Thunderclouds,Sia,Mountains,False
2018-12-08 12:18:39+00:00,1224,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-08 12:18:40+00:00,1510,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-08 12:18:41+00:00,1091,Flames,David Guetta,7,False
2018-12-08 12:18:42+00:00,1049,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-08 12:18:42+00:00,1113,Believer,Imagine Dragons,Evolve,False
2018-12-08 12:18:43+00:00,1319,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-08 12:18:44+00:00,1347,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,Ahora,False
2018-12-08 12:18:45+00:00,1253,El Clavo,Prince Royce,El Clavo,False
2018-12-08 12:18:46+00:00,1025,Vaina Loca,Ozuna,Aura,False
2018-12-08 12:20:14+00:00,88214,El Clavo,Prince Royce,El Clavo,False
2018-12-08 12:20:15+00:00,1448,Vaina Loca,Ozuna,Aura,False
2018-12-08 12:20:16+00:00,1391,Better Now,Post Malone,beerbongs & bentleys,False
2018-12-08 12:20:17+00:00,1297,Clandestino,Shakira,Clandestino,False
2018-12-09 20:48:23+00:00,213040,Genius,Sia,Mountains,False
2018-12-09 20:51:49+00:00,206000,Ya Es Hora,Ana Mena,Index,False
2018-12-09 20:55:45+00:00,235545,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Red Pill Blues,False
2018-12-09 20:58:57+00:00,192975,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-09 21:02:14+00:00,195519,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-09 21:06:16+00:00,212500,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",False
2018-12-09 21:09:51+00:00,214847,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-09 21:12:56+00:00,185467,Walk On Water,Thirty Seconds To Mars,AMERICA,False
2018-12-09 21:16:29+00:00,212348,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),Dvicio,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),False
2018-12-09 21:20:07+00:00,217947,IDGAF,Dua Lipa,Dua Lipa,False
2018-12-09 21:23:45+00:00,187667,Mujeres,Mozart La Para,Mujeres,False
2018-12-09 21:27:59+00:00,253390,I Like It,Cardi B,Invasion of Privacy,False
2018-12-09 21:28:09+00:00,10166,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),False
2018-12-09 21:32:00+00:00,231267,Better Now,Post Malone,beerbongs & bentleys,False
2018-12-09 22:11:26+00:00,201225,Believer,Imagine Dragons,Evolve,False
2018-12-09 22:15:36+00:00,219184,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-09 22:15:47+00:00,11195,Usted,Juan Magán,Usted,False
2018-12-09 22:18:56+00:00,189467,Natural,Imagine Dragons,Origins,False
2018-12-09 22:20:48+00:00,112619,No Es Justo,J Balvin,Vibras,False
2018-12-09 22:20:50+00:00,1709,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-09 22:20:51+00:00,1236,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,7,False
2018-12-09 22:20:52+00:00,1297,Don't Stop Me Now - Remastered 2011,Queen,Jazz,False
2018-12-09 22:20:53+00:00,1264,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,False
2018-12-09 22:20:54+00:00,1725,Vaina Loca,Ozuna,Aura,False
2018-12-09 22:21:44+00:00,50663,El Clavo,Prince Royce,El Clavo,False
2018-12-09 22:21:49+00:00,5062,Sin Pijama,Becky G,Sin Pijama,False
